Date,X,Y,EFamont,EFmédian,EFaval,TopRotorAM,TopRotorMD,TopRotorAV,EFstatorAM,EFstatorAV,TopStator,Uf,If,P,Q,Ua,ModInstDéplArbre,MinEFamont,MinEFmédian,MinEFaval,EFccAM,EFccMD,EFccAV,RUPTSIG,TEMPOS,ARRET,VIBccAM,VIBccAV,Xmoy,Ymoy,ModCCdéplArbre,ModMoyDéplArbre
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi 1 mars 2018 07:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
