Date,X,Y,EFamont,EFmédian,EFaval,TopRotor1,TopRotor2,EFstatorAM,EFstatorAV,TopStator,Uf,If,P,Q,Ua,ModInstDéplArbre,MinEFamont,MinEFmédian,MinEFaval,EFccAM,54*EFccMD,EFccAV,RUPTSIG,TEMPOS,ARRET,VIBccAM,VIBccAV,Xmoy,Ymoy,ModCCdéplArbre,ModMoyDéplArbre
mardi 21 décembre 2021 10:59:03,338,-106,5.3,6.04,5.59,0,-40,160,961,2,0,1124,356,56,5149,35,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,370,-98,5.74,6.25,5.56,0,-40,1120,966,2,0,1124,356,56,5149,38,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,390,-111,6,6.27,5.37,0,-40,1107,964,2,0,1124,356,56,5149,41,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,395,-107,5.83,6.06,5.38,0,-40,1134,949,2,0,1124,356,56,5149,41,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,398,-116,5.6,5.92,5.3,0,-40,1109,961,2,0,1124,356,56,5149,41,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,431,-129,5.67,6.18,5.3,0,-40,1129,952,2,0,1124,356,56,5149,45,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,433,-179,6.13,6.48,5.62,0,-40,1089,948,2,0,1124,356,56,5149,47,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,439,-200,6.27,6.63,5.8,0,-40,1107,957,2,0,1124,356,56,5149,48,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,432,-210,6.35,6.64,6.04,0,-40,1130,957,2,0,1124,356,56,5149,48,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,425,-220,6.24,6.65,6.24,0,-40,1104,953,2,0,1124,356,56,5149,48,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,404,-264,5.97,6.56,6.14,0,-40,1123,961,2,0,1124,356,56,5149,48,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,385,-275,5.84,6.54,6.22,0,-40,1098,963,2,0,1124,356,56,5149,47,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,366,-294,5.83,6.46,6.16,0,-40,1092,970,2,0,1124,356,56,5149,47,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,361,-300,5.81,6.61,6.11,0,-40,1122,957,2,0,1124,356,56,5149,47,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,342,-332,5.95,6.79,6.52,0,-40,1112,971,2,0,1124,356,56,5149,48,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,316,-334,6.07,7.1,6.53,0,-40,1107,971,2,0,1124,356,56,5149,46,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,289,-347,6.43,7.24,6.74,0,-40,1112,963,2,0,1124,356,56,5149,45,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,268,-332,6.82,7.15,6.92,0,-40,1072,972,2,0,1124,356,56,5149,43,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,250,-321,7.05,7.31,6.69,0,-40,1066,961,2,0,1124,356,56,5149,41,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,232,-303,6.77,7.01,6.55,0,-40,1093,961,2,0,1124,356,56,5149,38,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,215,-279,6.4,6.87,6.27,0,-40,1072,970,2,0,1124,356,56,5149,35,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,208,-256,6.29,6.73,6.1,278,-40,1097,973,2,0,1124,356,56,5149,33,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:03,201,-247,6.32,6.72,5.97,0,-40,1059,963,2,0,1124,356,56,5149,32,497,579,529,210,151,162,0,8800,0,74,56,314,-209,26,38
mardi 21 décembre 2021 10:59:02,220,-227,6.25,6.65,5.66,0,92,1046,971,2,0,1131,356,46,5139,32,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,151,-204,5.97,6.45,5.59,0,-40,1068,971,2,0,1131,356,46,5139,25,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,244,-176,5.73,6.38,5.63,0,-40,1094,965,2,0,1131,356,46,5139,30,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,241,-144,5.46,6.33,5.55,0,-40,1109,959,2,0,1131,356,46,5139,28,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,244,-121,5.46,6.28,5.78,0,-40,1090,960,2,0,1131,356,46,5139,27,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,246,-99,5.39,6.25,5.85,0,-40,1106,963,251,0,1131,356,46,5139,26,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,283,-97,5.21,6.14,5.77,0,-40,1086,956,251,0,1131,356,46,5139,30,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,315,-107,5.14,6.04,5.72,0,-40,1156,911,251,0,1131,356,46,5139,33,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,329,-106,4.96,5.81,5.53,0,-40,993,954,251,0,1131,356,46,5139,35,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,338,-104,5.31,6.01,5.57,0,-40,160,972,251,0,1131,356,46,5139,35,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,358,-93,5.74,6.22,5.53,0,-40,1118,978,2,0,1131,356,46,5139,37,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,381,-110,6,6.25,5.34,0,-40,1105,977,2,0,1131,356,46,5139,40,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,400,-111,5.83,6.03,5.38,0,-40,1132,975,2,0,1131,356,46,5139,42,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,407,-116,5.61,5.9,5.3,0,-40,1109,975,2,0,1131,356,46,5139,42,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,435,-130,5.69,6.17,5.3,0,-40,1128,965,2,0,1131,356,46,5139,45,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,429,-182,6.12,6.46,5.64,0,-40,1087,960,2,0,1131,356,46,5139,47,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,425,-199,6.29,6.64,5.81,0,-40,1105,969,2,0,1131,356,46,5139,47,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,429,-204,6.36,6.65,6.07,0,-40,1129,970,2,0,1131,356,46,5139,47,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,421,-222,6.22,6.65,6.28,0,-40,1103,967,2,0,1131,356,46,5139,48,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,409,-272,5.98,6.58,6.18,0,-40,1123,974,2,0,1131,356,46,5139,49,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,386,-275,5.85,6.58,6.27,0,-40,1097,975,2,0,1131,356,46,5139,47,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
mardi 21 décembre 2021 10:59:02,362,-291,5.83,6.48,6.19,0,-40,1091,982,2,0,1131,356,46,5139,46,498,582,527,207,150,160,0,8700,0,74,56,313,-209,25,38
